Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,58.900002,59.299999,57.580002,58.700001,35.302013,7054600
2002-01-03,58.700001,58.730000,57.880001,58.680000,35.289989,6413100
2002-01-04,58.680000,58.900002,57.950001,58.139999,34.965233,4778400
2002-01-07,57.900002,58.500000,57.759998,57.869999,34.802860,4509300
2002-01-08,58.080002,58.099998,57.000000,57.490002,34.574322,4505900
2002-01-09,56.950001,57.799999,56.750000,56.910000,34.225521,6491400
2002-01-10,56.669998,58.389999,56.599998,58.279999,35.049427,5305900
2002-01-11,58.080002,58.419998,57.750000,58.230000,35.019367,5158500
2002-01-14,58.680000,59.320000,58.459999,58.919998,35.434326,5401200
2002-01-15,59.130001,59.430000,58.639999,59.169998,35.584671,6218100
2002-01-16,59.340000,59.990002,59.180000,59.580002,35.831253,6373800
2002-01-17,59.580002,59.980000,59.220001,59.830002,35.981602,5591900
2002-01-18,59.830002,60.099998,59.619999,59.700001,35.903412,8949200
2002-01-22,59.709999,59.849998,58.520000,59.119999,35.554607,9612600
2002-01-23,59.130001,59.270000,58.380001,58.779999,35.350117,7261200
2002-01-24,58.000000,58.209999,57.740002,58.040001,34.905094,6873700
2002-01-25,58.049999,58.200001,57.599998,57.650002,34.670559,5527000
2002-01-28,57.509998,57.980000,57.369999,57.810001,34.766777,5286700
2002-01-29,57.900002,58.740002,56.820000,57.180000,34.387897,5898700
2002-01-30,57.200001,57.689999,56.900002,57.200001,34.399933,7920200
2002-01-31,57.209999,57.549999,56.810001,57.509998,34.586353,6754000
2002-02-01,57.259998,58.330002,57.259998,57.599998,34.640476,5901100
2002-02-04,57.549999,57.709999,56.000000,56.310001,33.864681,7657400
2002-02-05,55.509998,56.349998,54.700001,55.500000,33.377552,12762300
2002-02-06,55.500000,56.500000,55.500000,55.880001,33.606079,7157900
2002-02-07,55.880001,57.099998,55.799999,56.490002,33.972912,6952400
2002-02-08,56.060001,57.060001,55.250000,56.880001,34.207474,6542900
2002-02-11,56.880001,57.849998,56.750000,57.049999,34.309711,4444000
2002-02-12,57.049999,57.380001,56.599998,57.299999,34.460064,4910200
2002-02-13,58.200001,58.889999,57.950001,58.090000,34.935177,7287500
2002-02-14,58.000000,58.049999,57.049999,57.299999,34.567184,7137300
2002-02-15,57.700001,58.090000,57.000000,57.240002,34.530987,6148300
2002-02-19,57.490002,57.599998,56.750000,56.919998,34.337933,5012900
2002-02-20,57.490002,58.500000,57.160000,58.119999,35.061848,5536600
2002-02-21,58.250000,58.950001,57.930000,58.000000,34.989460,7052500
2002-02-22,58.000000,59.509998,57.950001,59.400002,35.834045,7805400
2002-02-25,59.959999,60.029999,59.400002,59.700001,36.015030,8391700
2002-02-26,59.700001,60.250000,59.250000,60.009998,36.202015,7768000
2002-02-27,60.220001,60.540001,59.959999,60.230000,36.334747,6807400
2002-02-28,60.240002,60.970001,60.119999,60.900002,36.738934,6439200
2002-03-01,60.900002,62.400002,60.599998,62.099998,37.462852,9202100
2002-03-04,62.500000,62.500000,61.900002,61.919998,37.354271,8455600
2002-03-05,61.919998,62.160000,61.110001,61.310001,36.986267,7700000
2002-03-06,61.790001,62.790001,61.599998,62.520000,37.716225,7264800
2002-03-07,63.500000,64.099998,63.279999,63.619999,38.379826,11207800
2002-03-08,64.400002,64.489998,63.099998,63.660000,38.403957,10364300
2002-03-11,63.660000,64.400002,63.410000,63.810001,38.494438,7239000
2002-03-12,63.810001,63.810001,62.970001,63.650002,38.397923,7505800
2002-03-13,63.650002,64.010002,63.250000,63.900002,38.548725,6200600
