,Date,Open,High,Low,Close,Adj Close,Volume,dias_da_semana,dia_ou_noite
81,2002-04-30,62.919998,64.300003,62.830002,63.860001000000004,38.524601000000004,8313800,1,noite
82,2002-05-01,63.970001,64.629997,63.869999,63.950001,38.578903000000004,7117100,2,noite
83,2002-05-02,63.75,64.199997,63.549999,64.199997,38.729713000000004,5380500,3,noite
84,2002-05-03,64.08000200000001,64.16999799999999,63.049999,63.43,38.265205,6039500,4,noite
85,2002-05-06,63.650002,63.93,62.049999,62.099998,37.462852000000005,5620600,0,noite
86,2002-05-07,62.099998,62.299999,60.23,60.419998,36.449368,12821700,1,noite
87,2002-05-08,60.580002,61.23,59.16,60.900002,36.738934,12847100,2,noite
88,2002-05-09,60.75,61.880001,60.540001000000004,61.369999,37.022465000000004,6005600,3,noite
89,2002-05-10,61.099998,62.66,61.099998,61.849998,37.312034999999995,5920600,4,noite
90,2002-05-13,61.77,62.599998,61.400002,61.84,37.305988,6086000,0,noite
91,2002-05-14,61.25,61.450001,60.209998999999996,61.040001000000004,36.823391,11451100,1,noite
92,2002-05-15,60.279999,60.75,60.0,60.240002000000004,36.340775,9889700,2,noite
93,2002-05-16,60.48,60.849998,60.25,60.549999,36.527794,7215100,3,noite
94,2002-05-17,59.700001,61.599998,59.700001,61.470001,37.208771,6402100,4,noite
95,2002-05-20,61.470001,61.470001,60.200001,60.450001,36.591343,6951500,0,noite
96,2002-05-21,60.650002,61.169998,60.52,60.639998999999996,36.706364,5296300,1,noite
97,2002-05-22,61.900002,62.59,61.279999,62.0,37.529583,9556600,2,noite
98,2002-05-23,62.0,62.400002,61.099998,61.75,37.378269,9079300,3,noite
99,2002-05-24,61.75,62.119999,61.23,61.400002,37.166405,5640200,4,noite
100,2002-05-28,61.349998,61.599998,61.049999,61.209998999999996,37.051392,5106500,1,noite
101,2002-05-29,61.459998999999996,61.650002,61.25,61.360001000000004,37.142185,4892400,2,noite
102,2002-05-30,60.650002,61.84,60.619999,61.369999,37.148243,7590400,3,noite
